cluster,representative_day
0,2025-10-21 00:00:00+00:00
1,2025-06-03 00:00:00+00:00
2,2025-03-26 00:00:00+00:00
3,2025-02-18 00:00:00+00:00
4,2025-09-19 00:00:00+00:00
5,2025-05-01 00:00:00+00:00
