interval_start_utc,MINN,MINN_MISO_avg_DART
2025-01-02 00:00:00+00:00,11.247499999999999,11.247499999999999
2025-01-02 01:00:00+00:00,9.849166666666665,9.849166666666665
2025-01-02 02:00:00+00:00,7.488333333333333,7.488333333333333
2025-01-02 03:00:00+00:00,9.151666666666667,9.151666666666667
2025-01-02 04:00:00+00:00,11.139166666666664,11.139166666666664
2025-01-02 05:00:00+00:00,14.285833333333333,14.285833333333333
2025-01-03 00:00:00+00:00,2.0683333333333316,2.0683333333333316
2025-01-03 01:00:00+00:00,5.837500000000002,5.837500000000002
2025-01-03 02:00:00+00:00,7.535833333333333,7.535833333333333
2025-01-03 03:00:00+00:00,8.212499999999999,8.212499999999999
2025-01-03 04:00:00+00:00,7.57,7.57
2025-01-03 05:00:00+00:00,-4.040833333333328,-4.040833333333328
2025-01-04 00:00:00+00:00,7.551666666666669,7.551666666666669
2025-01-04 01:00:00+00:00,6.325833333333335,6.325833333333335
2025-01-04 02:00:00+00:00,8.389166666666664,8.389166666666664
2025-01-04 03:00:00+00:00,8.736666666666665,8.736666666666665
2025-01-04 04:00:00+00:00,8.790833333333332,8.790833333333332
2025-01-04 05:00:00+00:00,37.030833333333334,37.030833333333334
2025-01-05 00:00:00+00:00,12.962500000000002,12.962500000000002
2025-01-05 01:00:00+00:00,9.300833333333333,9.300833333333333
2025-01-05 02:00:00+00:00,8.809166666666666,8.809166666666666
2025-01-05 03:00:00+00:00,9.284166666666668,9.284166666666668
2025-01-05 04:00:00+00:00,5.930000000000003,5.930000000000003
2025-01-05 05:00:00+00:00,-17.45333333333334,-17.45333333333334
2025-01-06 00:00:00+00:00,-16.40416666666667,-16.40416666666667
2025-01-06 01:00:00+00:00,-5.00416666666667,-5.00416666666667
2025-01-06 02:00:00+00:00,-1.955833333333338,-1.955833333333338
2025-01-06 03:00:00+00:00,-11.33916666666667,-11.33916666666667
2025-01-06 04:00:00+00:00,-11.386666666666663,-11.386666666666663
2025-01-06 05:00:00+00:00,2.393333333333331,2.393333333333331
2025-01-07 00:00:00+00:00,32.98166666666667,32.98166666666667
2025-01-07 01:00:00+00:00,29.475833333333334,29.475833333333334
2025-01-07 02:00:00+00:00,23.27,23.27
2025-01-07 03:00:00+00:00,20.064166666666665,20.064166666666665
2025-01-07 04:00:00+00:00,29.059166666666663,29.059166666666663
2025-01-07 05:00:00+00:00,11.16,11.16
2025-01-08 00:00:00+00:00,16.666666666666664,16.666666666666664
2025-01-08 01:00:00+00:00,14.765833333333333,14.765833333333333
2025-01-08 02:00:00+00:00,13.801666666666666,13.801666666666666
2025-01-08 03:00:00+00:00,15.545833333333338,15.545833333333338
2025-01-08 04:00:00+00:00,17.534166666666664,17.534166666666664
2025-01-08 05:00:00+00:00,4.4025,4.4025
2025-01-09 00:00:00+00:00,19.50833333333333,19.50833333333333
2025-01-09 01:00:00+00:00,9.147499999999997,9.147499999999997
2025-01-09 02:00:00+00:00,1.7475000000000023,1.7475000000000023
2025-01-09 03:00:00+00:00,2.9866666666666646,2.9866666666666646
2025-01-09 04:00:00+00:00,1.7824999999999989,1.7824999999999989
2025-01-09 05:00:00+00:00,-1.0558333333333358,-1.0558333333333358
2025-01-10 00:00:00+00:00,-11.510833333333338,-11.510833333333338
2025-01-10 01:00:00+00:00,-20.93166666666666,-20.93166666666666
2025-01-10 02:00:00+00:00,-38.70333333333333,-38.70333333333333
2025-01-10 03:00:00+00:00,-6.450833333333332,-6.450833333333332
2025-01-10 04:00:00+00:00,-3.244166666666665,-3.244166666666665
2025-01-10 05:00:00+00:00,0.7208333333333314,0.7208333333333314
2025-01-11 00:00:00+00:00,0.5433333333333294,0.5433333333333294
2025-01-11 01:00:00+00:00,-1.4991666666666674,-1.4991666666666674
2025-01-11 02:00:00+00:00,-0.16416666666666657,-0.16416666666666657
2025-01-11 03:00:00+00:00,-2.014166666666668,-2.014166666666668
2025-01-11 04:00:00+00:00,-6.506666666666668,-6.506666666666668
