interval_start_utc,MINN_MISO_avg_DART
2025-01-02 00:00:00+00:00,10.526944444444444
2025-01-03 00:00:00+00:00,4.530555555555556
2025-01-04 00:00:00+00:00,12.804166666666667
2025-01-05 00:00:00+00:00,4.805555555555555
2025-01-06 00:00:00+00:00,-7.28277777777778
2025-01-07 00:00:00+00:00,24.33513888888889
2025-01-08 00:00:00+00:00,13.786111111111111
2025-01-09 00:00:00+00:00,5.68611111111111
2025-01-10 00:00:00+00:00,-13.353333333333332
2025-01-11 00:00:00+00:00,-1.7531944444444463
2025-01-12 00:00:00+00:00,-7.520972222222222
2025-01-13 00:00:00+00:00,8.123611111111112
2025-01-14 00:00:00+00:00,-10.65597222222222
2025-01-15 00:00:00+00:00,-2.7656944444444407
2025-01-16 00:00:00+00:00,-13.219027777777777
2025-01-17 00:00:00+00:00,1.9640277777777786
2025-01-18 00:00:00+00:00,0.6856944444444455
2025-01-19 00:00:00+00:00,1.765416666666668
2025-01-20 00:00:00+00:00,30.181527777777777
2025-01-21 00:00:00+00:00,53.960277777777776
2025-01-22 00:00:00+00:00,19.414166666666663
2025-01-23 00:00:00+00:00,35.77319444444444
2025-01-24 00:00:00+00:00,33.1975
2025-01-25 00:00:00+00:00,2.0150000000000015
2025-01-26 00:00:00+00:00,-5.650972222222222
2025-01-27 00:00:00+00:00,4.962638888888889
2025-01-28 00:00:00+00:00,4.823472222222222
2025-01-29 00:00:00+00:00,-10.898888888888889
2025-01-30 00:00:00+00:00,-43.522638888888885
2025-01-31 00:00:00+00:00,2.839305555555555
2025-02-01 00:00:00+00:00,10.17277777777778
2025-02-02 00:00:00+00:00,-11.248055555555558
2025-02-03 00:00:00+00:00,-2.4225
2025-02-04 00:00:00+00:00,4.414444444444444
2025-02-05 00:00:00+00:00,13.985555555555555
2025-02-06 00:00:00+00:00,-61.495138888888896
2025-02-07 00:00:00+00:00,-1.4962499999999992
2025-02-08 00:00:00+00:00,13.929583333333332
2025-02-09 00:00:00+00:00,6.840833333333335
2025-02-10 00:00:00+00:00,4.840694444444447
2025-02-11 00:00:00+00:00,8.439583333333333
2025-02-12 00:00:00+00:00,2.1465277777777754
2025-02-13 00:00:00+00:00,3.8381944444444422
2025-02-14 00:00:00+00:00,6.215555555555556
2025-02-15 00:00:00+00:00,-3.297777777777778
2025-02-16 00:00:00+00:00,3.3944444444444444
2025-02-17 00:00:00+00:00,21.550972222222224
2025-02-18 00:00:00+00:00,45.12777777777779
