interval_5min,1/1/2025_pos,1/1/2025_neg,1/2/2025_pos,1/2/2025_neg,1/3/2025_pos,1/3/2025_neg,1/4/2025_pos,1/4/2025_neg,1/5/2025_pos,1/5/2025_neg,1/6/2025_pos,1/6/2025_neg,1/7/2025_pos,1/7/2025_neg,1/8/2025_pos,1/8/2025_neg,1/9/2025_pos,1/9/2025_neg,1/10/2025_pos,1/10/2025_neg,1/11/2025_pos,1/11/2025_neg,1/12/2025_pos,1/12/2025_neg,1/13/2025_pos,1/13/2025_neg,1/14/2025_pos,1/14/2025_neg,1/15/2025_pos,1/15/2025_neg,1/16/2025_pos,1/16/2025_neg,1/17/2025_pos,1/17/2025_neg,1/18/2025_pos,1/18/2025_neg,1/19/2025_pos,1/19/2025_neg,1/20/2025_pos,1/20/2025_neg,1/21/2025_pos,1/21/2025_neg,1/22/2025_pos,1/22/2025_neg,1/23/2025_pos,1/23/2025_neg,1/24/2025_pos,1/24/2025_neg,1/25/2025_pos,1/25/2025_neg,1/26/2025_pos,1/26/2025_neg,1/27/2025_pos,1/27/2025_neg,1/28/2025_pos,1/28/2025_neg,1/29/2025_pos,1/29/2025_neg,1/30/2025_pos,1/30/2025_neg,1/31/2025_pos,1/31/2025_neg
00:00:00-00:05:00,,-0.97443136916,0.6900802361953124,-0.1607480845,0.8855098839569893,-0.6456996785789473,0.37124603204210527,-0.3193549763272727,0.9322215664594595,-0.0443400225,0.825016917852349,-0.028357864,0.8136560661333333,,0.30715479040000004,-0.43588992353333333,0.9994753232600001,,0.8355601471076923,-0.4995742452,0.46806625,-0.5267406859772726,0.8169494156330935,-0.0683983669090909,0.71955643508,,0.42467993445544555,-0.3961223014285714,0.46060322607142856,-0.3155655471125,0.6033772814608696,-0.24902615082857146,0.5381554262380953,-0.08561219891666666,,-0.8450707711600001,0.6600430480813954,-0.707283700484375,0.9099771240400001,,0.3498785780714286,-0.6229201375576923,0.23541370224,-0.33939385992,0.26745894249999996,-0.24467238891463416,0.3226964193716814,-0.2085267458918919,0.09356272658333332,-0.5064467404920635,0.440431445030303,-0.5695642625119047,0.18805778598,-0.3034509937,0.5523652139999999,,0.9106871444642857,-0.1043439121,0.24153297544927538,-0.9035225431975309,0.8340943300533333,
00:05:00-00:10:00,0.5050022339545455,-0.39531741721428576,0.59831112608,-0.7842054402099999,0.3830236054107143,-0.3716527170851064,0.24365552144615385,-0.4251985015058824,0.9999336242999999,,0.3793912243384615,-0.049645448,0.8013849130243902,-0.20751362896296296,0.4703379945804196,-0.018950923285714287,0.8800532381967213,-0.5954394500224719,0.7914286149469697,-0.7658173020555555,0.5364403517931035,-0.8321703137024793,0.49375251957407407,-0.8680748583125001,0.3678652138979592,-0.20867665084615383,0.5818648984701493,-0.093954916375,0.24469476958536587,-0.597419972798165,0.5189685480733334,,0.3317375794333334,-0.7005360835888889,0.8847466266413043,-0.8803515152068966,0.2913793798035714,-0.28815060479787236,0.7107796340227273,-0.3029851748064516,0.5180820590784314,-0.17172458541666666,,-0.8762016527933334,0.4291218131466667,,0.4110402671342282,-0.005378722,,-0.9983645604200001,0.6447788324380953,-0.6811056966888889,0.05892060192307692,-0.273457261,0.6362193362399999,,0.49446002008333334,-0.9521400591449275,,-0.9999926115,0.58213941396,-0.69049041603
00:10:00-00:15:00,0.7277820769315069,-0.7543626377142858,0.3282569631363636,-0.870621619546875,0.8088592643666667,,0.7369569094659091,-0.19869799175806452,0.98806834276,,0.47036204339361704,-0.22325887732142857,,-0.6815962736866666,0.884392457875,-0.24062464416666668,0.8259653537142858,-0.6148818305757575,0.36087522895744684,-0.8838481725728156,,-0.99996643058,0.27953277825,-0.7662014666791045,0.23151987166666668,-0.4876711811428571,0.9304166192040816,-0.83960581675,,-0.8574685630866666,0.8669303137380953,-0.5483764946666666,0.11633294142857142,-0.6791838427552448,0.9054511749879518,-0.5319908825373135,0.19226815508823528,-0.7996189796465517,0.7161949357333333,,0.4403743749924242,-0.09521833883333333,,-0.60772406156,0.311752888280303,-0.07681045205555555,0.26913194268067225,-0.041795307774193546,0.7007823096095237,-0.3338744953111111,0.5281599303030303,-0.06758171316666667,0.4015281082253521,-0.2815967995443038,0.9225339820133333,,0.9335269691298701,-0.9404861137260274,0.0684149975625,-0.4407198288208955,0.3127148902222222,-0.779476898385965
00:15:00-00:20:00,0.934326100451923,-0.6081763444782609,0.7413456612314815,-0.11247357657142858,0.9999411538266666,,0.3724804346,-0.32879982805454544,0.45054254249473685,-0.27723093394545456,0.339578659525,-0.17052865723333335,0.6752392400551182,-0.3524215363043478,0.774281492626506,-0.8023225301044775,0.7371091581891892,-0.4938347857236842,0.8523469573647059,-0.5037414142307692,0.3229809699411765,-0.940702042443609,0.5388565106266666,,0.20051591900000001,-0.2836810689550562,0.6089008785321101,-0.856530674097561,0.19436484650000002,-0.6159946683846154,,-0.8058686269933333,0.5580427157819549,-0.12193922541176472,0.7073104138888888,-0.5235994966666667,0.9419959769999999,-0.8951453790833334,0.3589139545408163,-0.3082109429423077,0.8915619834133334,,0.7336681138762886,-0.19312108033962264,0.7788664291746032,-0.31461695854166666,0.5129726893018868,-0.15796334120454547,0.6952270798549618,-0.13275515578947367,0.3861688058606558,-0.14961551689285715,0.541323049640625,-0.07930302568181818,0.8510663552704918,-0.41635808914285716,0.6082673931533333,,,-0.5355413729533334,0.7799393005533333,
00:20:00-00:25:00,0.39596796263636364,-0.8924772556978418,0.7428977179999999,-0.6229639349647058,0.5816231660582524,-0.49763261370212764,0.6879740052018348,-0.1637632592195122,0.0879434215,-0.4792821634,0.19336709310144928,-0.3424716541481482,0.22267688502352942,-0.19324551390769232,0.36370224979166665,-0.3713381482222222,0.19063602605263158,-0.8140793678931298,0.3910905288461538,-0.6056658354489796,0.7679377154466667,,0.3244864657843137,-0.10210785127083333,0.3425478677380952,-0.5665972406296296,0.9000778315512821,-0.4812884092916667,0.2468866191958763,-0.3019422591132076,0.082849116,-0.6177438074676259,0.2940425790348837,-0.233294012359375,0.6533773182466667,,0.8043690124999999,-0.4922033783142857,,-0.71412418424,0.9527969383522727,-0.9656947101129032,0.8149078735866666,,,-0.6930704988399999,,-0.5496345492266667,0.104142459,-0.7068217769383562,0.5980768901866667,,0.21431509389999998,-0.2806092571909091,0.2401042403076923,-0.8337846968870968,0.20959476553333334,-0.37637413547407406,0.200425621625,-0.5940927429626865,0.649252903377551,-0.2715976767692308
00:25:00-00:30:00,0.32748681571875,-0.6417116555677966,,-0.7774303213533333,0.1087773232,-0.7169226827230769,0.27876455643846154,-0.1527211318,0.5150574615000001,-0.761902863090909,0.48155451709473684,-0.3173874332,0.5684225985892858,-0.1325684259736842,,-0.8682931981066667,0.18246184320689657,-0.7043731019173554,0.2799962392574257,-0.07503912202040816,0.8683978402133332,,0.6461798982481752,-0.04933312223076923,,-0.7413643424533334,0.5982966267962964,-0.40237880476041665,0.069871,-0.24616083475524475,0.662459081,-0.8648881424848485,0.7491757796355141,-0.20118874111627907,0.11993624963636364,-0.789046569015625,0.037273509391304346,-0.826570481511811,0.24677995861538463,-0.7352042071129032,,-0.99926937152,0.44274009356000005,,0.4778438887704918,-0.4852705805730337,0.07175047885714285,-0.21389108812295082,0.035240376000000004,-0.7607922471506849,0.4829338773157894,-0.7605063872290075,0.6469923753529411,-0.2665377035483871,,-0.9583940709866666,0.3508262596,,0.5704385773157895,-0.3350085547837838,0.5911875569069768,-0.6928707969439252
00:30:00-00:35:00,0.8488533754786325,-0.300232106,0.09507778105,-0.4197744767769231,0.20033658425,-0.5400067758725491,0.518098599,-0.2660096624375,0.4471898328518518,-0.4611846558854167,0.3371639779009901,-0.5712840578775511,0.5954491894333334,-0.13620805996666666,,-0.56769999054,,-0.9999908392333333,0.2996424965818182,-0.3873153418,0.678611964261745,-0.006814127,0.5478836047088608,-0.2654179437605634,0.172175093,-0.7690900911889763,0.5106831850757576,-0.4266271843690476,0.657695272,,0.8842701723999999,,0.6608732663193277,-0.21898732238709678,0.5647373133194444,-0.8060556954102563,,-0.99987688444,0.9091140142982457,-0.24272356413888888,0.2984892403069307,-0.37870218446938775,0.30202375631034484,-0.43136052236956524,0.3199879083142857,-0.16712190005,0.4536082227777778,-0.25862805988461535,0.10536293801886792,-0.32750264505154636,0.6610784427623763,-0.8858711277142858,0.4846776475510204,-0.1655872374423077,0.6192753066060607,-0.6742479622905984,0.5353869239375,-0.18214115277272727,,-0.6170234734933334,0.5266003997252747,-0.8321915864406779
00:35:00-00:40:00,0.6819596502711864,-0.46600958171875,0.3772031467920792,-0.20245406936734692,,-0.8312673449466667,0.4602545810714286,-0.6567300275491803,0.3203947353580247,-0.405411039942029,0.6328738131428572,-0.9414797916803278,0.28387628345535715,-0.15265905678947367,0.25599402173255814,-0.2894031123125,,-0.71864456672,0.9825518175466668,,0.125815624375,-0.328831694761194,0.4619478629082569,-0.36810886592682923,,-0.9014054380733334,0.8258234782301587,-0.5778143808333334,0.572155789069307,-0.33662612014285714,0.9377900372200001,,0.6398533780352942,-0.43407644886153846,0.9999773701866667,,0.3751340121509434,-0.670353385814433,0.8099303609999999,-0.1679355230909091,0.4254826558027211,-0.011220046,,-0.5601816953000001,0.050723919000000006,-0.474245617519084,0.13405164997916666,-0.26284597528431375,0.4681566930863309,-0.31332371454545455,0.51728488,-0.04302546025,0.2615173919642857,-0.3239979339672131,0.53539315808,,0.12291206413829786,-0.183215278625,0.8773308236428571,-0.0767084412,0.49048471612676053,-0.02626755125
00:40:00-00:45:00,0.654524050987013,-0.5328577355205479,0.7924513806714285,-0.1119804389,,-0.6595819962866667,,-0.45531213359333333,0.1455664578367347,-0.669832584049505,0.14020656451219513,-0.6108982778807339,0.025547484538461538,-0.6363224773211679,0.6374751574806201,-0.041272461809523805,0.4522098566847826,-0.20295193843103448,0.7510646178842976,-0.7188270647586207,0.104856502,-0.34505912376760567,0.28307898649999996,-0.4205663192363636,0.2465971447837838,-0.6166438760530973,,-1.00000892338,0.1370131923846154,-0.10979936988135593,0.5648362565306122,-0.020374564999999997,,-0.6545299731466666,0.439401703974026,-0.666759638630137,0.9257498256866667,,0.060707944800000004,-0.8616012532068965,0.28013800776,-0.7479461035199999,,-0.6767153148733333,0.64633557322,,0.14095695046938775,-0.248622013029703,0.096750893375,-0.46776540992253524,0.968911378,,0.20635501873584905,-0.2732689553298969,0.41128252950666666,,0.65442295696,,0.8337226174933334,,0.3028399447894737,-0.47869457132432436
00:45:00-00:50:00,0.7905701822197801,-0.32169818622033897,0.5614120004545454,-0.4982636761792453,0.6696606611652174,-0.6443337985714286,0.1583540905,-0.6246330809461539,0.43469218568421053,-0.46889930250537637,0.42753014984946236,-0.16149905340350879,0.30975764826262625,-0.8162263260980391,0.4217654329,-0.5504782761857143,0.9431853649352518,-0.31914554,0.10673311158333333,-0.8165197851491228,0.8285816552466666,,0.13958406157142858,-0.28896925263636364,0.5378514388695652,-0.07221982425,0.08174210014285714,-0.8003699265901639,0.31370686224,,0.6532989639166666,-0.2678800252820513,,-0.5678118128133334,,-0.5802143092533334,0.8742425009115646,-0.06716522000000001,0.6105127689133334,,0.41036765742708337,-0.4212809337962963,,-0.5664843641333334,0.7807226540714286,-0.4788129984537037,0.16952847242307692,-0.5485299097903226,0.34290542653571426,-0.2170237598181818,0.6957757805347222,-0.14979759633333334,0.7953720942413793,-0.26450393726470584,0.64348135226,,0.1416287757111111,-0.33624260393333333,0.6186805738378378,-0.4826088470921053,0.17615181357894735,-0.7144145871755725
