cluster,representative_day
0,2025-03-10 00:00:00+00:00
1,2025-03-30 00:00:00+00:00
2,2025-02-07 00:00:00+00:00
3,2025-07-30 00:00:00+00:00
4,2025-08-19 00:00:00+00:00
5,2025-12-30 00:00:00+00:00
