interval_start_utc,ARKANSAS.HUB,LOUISIANA.HUB,MS.HUB,TEXAS.HUB
2025-01-01 18:00:00+00:00,31.9425,37.2025,32.935,34.3525
2025-01-02 00:00:00+00:00,33.56166666666667,43.27333333333333,33.86166666666667,38.06166666666667
2025-01-02 06:00:00+00:00,28.753333333333334,32.568333333333335,29.005,30.445000000000004
2025-01-02 12:00:00+00:00,40.61333333333334,52.35166666666667,38.11666666666667,47.16
2025-01-02 18:00:00+00:00,30.971666666666668,33.50333333333334,29.638333333333332,32.81166666666667
2025-01-03 00:00:00+00:00,30.345,35.855,30.799999999999997,33.29
2025-01-03 06:00:00+00:00,24.753333333333334,25.588333333333335,25.103333333333335,25.108333333333334
2025-01-03 12:00:00+00:00,30.338333333333335,32.48,31.495,31.348333333333333
2025-01-03 18:00:00+00:00,25.86833333333333,27.673333333333332,26.811666666666667,26.7
2025-01-04 00:00:00+00:00,30.74,32.00333333333333,31.043333333333333,32.035000000000004
2025-01-04 06:00:00+00:00,28.06833333333333,29.135,28.31833333333333,28.675
2025-01-04 12:00:00+00:00,30.481666666666666,31.676666666666666,30.95,31.566666666666666
2025-01-04 18:00:00+00:00,32.57333333333333,33.651666666666664,32.70333333333333,33.59666666666667
2025-01-05 00:00:00+00:00,31.095,32.62166666666666,31.66,32.18833333333333
2025-01-05 06:00:00+00:00,22.703333333333333,23.958333333333332,23.333333333333332,23.474999999999998
2025-01-05 12:00:00+00:00,24.636666666666667,26.123333333333335,25.496666666666666,25.231666666666666
2025-01-05 18:00:00+00:00,25.885,27.531666666666666,26.768333333333334,26.623333333333335
2025-01-06 00:00:00+00:00,27.516666666666666,29.218333333333334,28.400000000000002,28.7
2025-01-06 06:00:00+00:00,27.296666666666667,28.64,27.90833333333333,28.084999999999997
2025-01-06 12:00:00+00:00,42.294999999999995,44.61000000000001,43.35666666666666,43.278333333333336
2025-01-06 18:00:00+00:00,36.13,37.336666666666666,36.61833333333333,36.276666666666664
2025-01-07 00:00:00+00:00,48.78666666666667,50.77166666666667,49.61166666666667,50.13666666666666
2025-01-07 06:00:00+00:00,39.38,41.14333333333333,39.958333333333336,40.486666666666665
2025-01-07 12:00:00+00:00,51.69833333333333,54.00333333333333,52.395,52.38166666666667
2025-01-07 18:00:00+00:00,33.62833333333333,35.62833333333333,34.165,34.858333333333334
2025-01-08 00:00:00+00:00,41.721666666666664,43.23,41.93666666666667,42.11000000000001
2025-01-08 06:00:00+00:00,42.065,39.053333333333335,37.266666666666666,38.56
2025-01-08 12:00:00+00:00,62.306666666666665,46.57333333333333,43.48,45.52333333333333
2025-01-08 18:00:00+00:00,39.99333333333333,33.346666666666664,32.093333333333334,33.1
2025-01-09 00:00:00+00:00,56.38166666666667,44.48833333333334,43.031666666666666,43.23333333333333
2025-01-09 06:00:00+00:00,35.791666666666664,36.09666666666667,34.791666666666664,34.43333333333334
2025-01-09 12:00:00+00:00,47.11666666666667,45.06333333333333,43.715,43.09166666666667
2025-01-09 18:00:00+00:00,32.115,33.035000000000004,31.921666666666667,31.865
2025-01-10 00:00:00+00:00,33.833333333333336,35.04333333333333,34.156666666666666,33.63
2025-01-10 06:00:00+00:00,26.765,28.203333333333333,27.12,27.12
2025-01-10 12:00:00+00:00,33.15833333333333,33.848333333333336,32.75833333333333,32.971666666666664
2025-01-10 18:00:00+00:00,33.711666666666666,35.211666666666666,34.155,34.76833333333333
2025-01-11 00:00:00+00:00,35.276666666666664,37.199999999999996,35.685,36.53333333333333
2025-01-11 06:00:00+00:00,31.03333333333333,32.29,31.28333333333333,31.900000000000002
2025-01-11 12:00:00+00:00,35.913333333333334,37.02333333333333,35.653333333333336,36.9
2025-01-11 18:00:00+00:00,31.51833333333333,33.001666666666665,31.89833333333333,32.27166666666667
2025-01-12 00:00:00+00:00,34.9,36.574999999999996,35.20166666666667,35.78333333333333
2025-01-12 06:00:00+00:00,31.463333333333335,33.17166666666667,32.02,32.10333333333333
2025-01-12 12:00:00+00:00,30.71166666666667,33.18,31.426666666666666,33.406666666666666
2025-01-12 18:00:00+00:00,29.361666666666668,31.189999999999998,30.186666666666667,30.78
2025-01-13 00:00:00+00:00,32.074999999999996,33.73166666666666,32.556666666666665,33.61833333333333
2025-01-13 06:00:00+00:00,27.301666666666666,28.929999999999996,27.675,28.86
2025-01-13 12:00:00+00:00,40.70666666666667,37.40333333333333,36.361666666666665,36.54666666666667
2025-01-13 18:00:00+00:00,32.473333333333336,32.61,31.543333333333333,30.868333333333336
2025-01-14 00:00:00+00:00,40.04333333333333,41.50666666666667,40.79333333333333,40.58
2025-01-14 06:00:00+00:00,29.886666666666667,32.10166666666667,31.866666666666664,30.686666666666667
2025-01-14 12:00:00+00:00,41.818333333333335,43.945,43.26500000000001,42.348333333333336
2025-01-14 18:00:00+00:00,28.790000000000003,31.746666666666666,30.166666666666668,29.953333333333333
2025-01-15 00:00:00+00:00,37.00333333333333,39.96333333333333,38.02,38.50833333333333
2025-01-15 06:00:00+00:00,35.38166666666667,36.68,35.428333333333335,36.098333333333336
