cluster,representative_day
0,2025-11-27 00:00:00+00:00
1,2025-01-22 00:00:00+00:00
2,2025-02-28 00:00:00+00:00
3,2025-08-01 00:00:00+00:00
4,2025-03-21 00:00:00+00:00
5,2025-10-09 00:00:00+00:00
