interval_start_utc,SOUTH_MISO_avg_DART
2025-01-02 00:00:00+00:00,8.217083333333333
2025-01-03 00:00:00+00:00,2.637638888888889
2025-01-04 00:00:00+00:00,3.8046527777777777
2025-01-05 00:00:00+00:00,2.6009027777777782
2025-01-06 00:00:00+00:00,2.198020833333334
2025-01-07 00:00:00+00:00,17.80027777777778
2025-01-08 00:00:00+00:00,4.295937499999998
2025-01-09 00:00:00+00:00,10.125694444444443
2025-01-10 00:00:00+00:00,1.1202777777777781
2025-01-11 00:00:00+00:00,0.48531249999999987
2025-01-12 00:00:00+00:00,5.091527777777778
2025-01-13 00:00:00+00:00,2.6373263888888885
2025-01-14 00:00:00+00:00,6.886423611111112
2025-01-15 00:00:00+00:00,-4.959236111111111
2025-01-16 00:00:00+00:00,8.51017361111111
2025-01-17 00:00:00+00:00,3.9302967171717165
2025-01-18 00:00:00+00:00,-36.742013888888884
2025-01-19 00:00:00+00:00,19.48701388888889
2025-01-20 00:00:00+00:00,42.67309027777778
2025-01-21 00:00:00+00:00,25.5178125
2025-01-22 00:00:00+00:00,-5.165729166666665
2025-01-23 00:00:00+00:00,15.07090277777778
2025-01-24 00:00:00+00:00,0.3819097222222223
2025-01-25 00:00:00+00:00,5.719687499999999
2025-01-26 00:00:00+00:00,1.6538888888888887
2025-01-27 00:00:00+00:00,0.2602777777777785
2025-01-28 00:00:00+00:00,-7.0654166666666685
2025-01-29 00:00:00+00:00,0.7056250000000003
2025-01-30 00:00:00+00:00,-14.673263888888888
2025-01-31 00:00:00+00:00,-0.9663541666666666
2025-02-01 00:00:00+00:00,5.524201388888888
2025-02-02 00:00:00+00:00,-16.108125
2025-02-03 00:00:00+00:00,-0.20253472222222202
2025-02-04 00:00:00+00:00,5.573680555555555
2025-02-05 00:00:00+00:00,4.642118055555556
2025-02-06 00:00:00+00:00,-5.822256944444444
2025-02-07 00:00:00+00:00,1.550902777777777
2025-02-08 00:00:00+00:00,4.778125
2025-02-09 00:00:00+00:00,2.4020486111111103
2025-02-10 00:00:00+00:00,6.231875
2025-02-11 00:00:00+00:00,6.489791666666666
2025-02-12 00:00:00+00:00,-8.283298611111112
2025-02-13 00:00:00+00:00,2.204409722222221
2025-02-14 00:00:00+00:00,2.2715972222222223
2025-02-15 00:00:00+00:00,-2.8513888888888896
2025-02-16 00:00:00+00:00,-0.7022222222222231
2025-02-17 00:00:00+00:00,14.886875000000002
2025-02-18 00:00:00+00:00,0.5635416666666663
2025-02-19 00:00:00+00:00,4.71357638888889
2025-02-20 00:00:00+00:00,-153.29506944444447
2025-02-21 00:00:00+00:00,33.912708333333335
2025-02-22 00:00:00+00:00,27.359375
2025-02-23 00:00:00+00:00,3.0645138888888894
2025-02-24 00:00:00+00:00,-2.283481691919192
2025-02-25 00:00:00+00:00,2.668472222222222
2025-02-26 00:00:00+00:00,6.404444444444444
2025-02-27 00:00:00+00:00,2.999027777777778
2025-02-28 00:00:00+00:00,5.689457070707069
2025-03-01 00:00:00+00:00,5.890722222222223
2025-03-02 00:00:00+00:00,4.337708333333334
2025-03-03 00:00:00+00:00,12.18017361111111
