interval_start_utc,MIDWEST_MISO_avg_DART
2025-01-02 00:00:00+00:00,7.401111111111111
2025-01-03 00:00:00+00:00,-1.8847222222222229
2025-01-04 00:00:00+00:00,4.821620370370368
2025-01-05 00:00:00+00:00,6.926388888888888
2025-01-06 00:00:00+00:00,5.870925925925925
2025-01-07 00:00:00+00:00,18.697824074074074
2025-01-08 00:00:00+00:00,7.6043518518518525
2025-01-09 00:00:00+00:00,-6.288518518518518
2025-01-10 00:00:00+00:00,3.2327777777777773
2025-01-11 00:00:00+00:00,-2.5015740740740755
2025-01-12 00:00:00+00:00,-0.3612037037037045
2025-01-13 00:00:00+00:00,3.5927314814814815
2025-01-14 00:00:00+00:00,7.0662962962962945
2025-01-15 00:00:00+00:00,5.237129629629631
2025-01-16 00:00:00+00:00,12.985046296296296
2025-01-17 00:00:00+00:00,-0.013093434343435573
2025-01-18 00:00:00+00:00,5.292592592592593
2025-01-19 00:00:00+00:00,8.523888888888889
2025-01-20 00:00:00+00:00,30.1237962962963
2025-01-21 00:00:00+00:00,16.05037037037037
2025-01-22 00:00:00+00:00,-48.91814814814814
2025-01-23 00:00:00+00:00,-8.035601851851851
2025-01-24 00:00:00+00:00,17.405694444444446
2025-01-25 00:00:00+00:00,11.039953703703702
2025-01-26 00:00:00+00:00,1.7537037037037047
2025-01-27 00:00:00+00:00,1.519398148148148
2025-01-28 00:00:00+00:00,-11.611342592592592
2025-01-29 00:00:00+00:00,2.372962962962964
2025-01-30 00:00:00+00:00,-40.89194444444444
2025-01-31 00:00:00+00:00,-0.40708333333333363
2025-02-01 00:00:00+00:00,6.521898148148147
2025-02-02 00:00:00+00:00,-15.479398148148148
2025-02-03 00:00:00+00:00,-4.20800925925926
2025-02-04 00:00:00+00:00,4.265601851851852
2025-02-05 00:00:00+00:00,7.472083333333334
2025-02-06 00:00:00+00:00,-61.30675925925926
2025-02-07 00:00:00+00:00,2.032407407407407
2025-02-08 00:00:00+00:00,2.6274537037037033
2025-02-09 00:00:00+00:00,1.1745833333333329
2025-02-10 00:00:00+00:00,5.3707870370370365
2025-02-11 00:00:00+00:00,4.733287037037036
2025-02-12 00:00:00+00:00,-3.854953703703701
2025-02-13 00:00:00+00:00,1.3973611111111115
2025-02-14 00:00:00+00:00,-0.99601851851852
2025-02-15 00:00:00+00:00,-2.23060185185185
2025-02-16 00:00:00+00:00,-0.8146759259259259
2025-02-17 00:00:00+00:00,18.852592592592593
2025-02-18 00:00:00+00:00,33.52458333333333
2025-02-19 00:00:00+00:00,25.755787037037038
2025-02-20 00:00:00+00:00,-158.27800925925925
2025-02-21 00:00:00+00:00,39.04138888888889
2025-02-22 00:00:00+00:00,25.49546296296296
2025-02-23 00:00:00+00:00,1.2880555555555553
2025-02-24 00:00:00+00:00,1.0408796296296297
2025-02-25 00:00:00+00:00,4.3540277777777785
2025-02-26 00:00:00+00:00,8.568888888888889
2025-02-27 00:00:00+00:00,4.167222222222223
2025-02-28 00:00:00+00:00,6.168745791245791
