cluster,representative_day
0,2025-06-13 00:00:00+00:00
1,2025-10-06 00:00:00+00:00
2,2025-04-04 00:00:00+00:00
3,2025-02-20 00:00:00+00:00
4,2025-03-04 00:00:00+00:00
5,2025-04-08 00:00:00+00:00
