ts_utc,ILLINOIS,INDIANA,MICHIGAN,MIDWEST_MISO_ZONE_AVG_DART
2025-01-01 20:00:00+00:00,3.6141666666666694,3.9274999999999984,4.0275,3.856388888888889
2025-01-01 21:00:00+00:00,6.514166666666668,6.9183333333333366,6.817499999999999,6.750000000000001
2025-01-01 22:00:00+00:00,7.765833333333333,8.28916666666667,8.136666666666667,8.06388888888889
2025-01-01 23:00:00+00:00,16.331666666666663,17.337499999999995,17.220833333333335,16.963333333333328
2025-01-02 00:00:00+00:00,9.253333333333334,8.885000000000002,9.545833333333334,9.228055555555557
2025-01-02 01:00:00+00:00,8.384999999999994,8.003333333333337,8.721666666666668,8.37
2025-01-02 02:00:00+00:00,6.097499999999997,6.132500000000004,6.154166666666665,6.128055555555555
2025-01-02 03:00:00+00:00,6.16416666666667,6.848333333333333,7.721666666666671,6.911388888888891
2025-01-02 04:00:00+00:00,6.499166666666667,6.861666666666668,7.762499999999999,7.041111111111111
2025-01-02 05:00:00+00:00,6.824166666666667,6.874166666666667,6.485833333333336,6.728055555555557
2025-01-02 06:00:00+00:00,5.744999999999997,5.683333333333334,5.443333333333332,5.623888888888888
2025-01-02 07:00:00+00:00,5.251666666666669,5.155833333333334,4.950833333333332,5.1194444444444445
2025-01-02 08:00:00+00:00,5.021666666666665,4.956666666666667,4.782499999999999,4.920277777777777
2025-01-02 09:00:00+00:00,5.07833333333333,4.995000000000001,4.829166666666666,4.9674999999999985
2025-01-02 10:00:00+00:00,7.233333333333331,7.908333333333331,7.75416666666667,7.631944444444444
2025-01-02 11:00:00+00:00,6.831666666666667,8.029166666666665,8.432500000000001,7.764444444444444
2025-01-02 12:00:00+00:00,8.039166666666667,8.565000000000005,8.658333333333331,8.420833333333334
2025-01-02 13:00:00+00:00,12.435000000000002,13.55916666666667,13.445,13.146388888888891
2025-01-02 14:00:00+00:00,13.388333333333332,14.254166666666663,13.328333333333333,13.656944444444443
2025-01-02 15:00:00+00:00,9.924166666666661,10.599166666666662,9.608333333333338,10.043888888888887
2025-01-02 16:00:00+00:00,0.7175000000000011,0.8483333333333363,-0.17166666666666686,0.46472222222222354
2025-01-02 17:00:00+00:00,3.8966666666666647,4.506666666666668,4.8416666666666615,4.414999999999998
2025-01-02 18:00:00+00:00,1.1658333333333317,1.5566666666666684,1.7375000000000007,1.486666666666667
2025-01-02 19:00:00+00:00,2.751666666666665,3.3733333333333384,3.9349999999999987,3.353333333333334
2025-01-02 20:00:00+00:00,3.215,3.886666666666663,4.512499999999999,3.8713888888888874
2025-01-02 21:00:00+00:00,-3.2424999999999997,-2.6274999999999977,-2.4833333333333307,-2.7844444444444427
2025-01-02 22:00:00+00:00,-111.66833333333332,-113.91499999999999,-113.76583333333333,-113.11638888888888
2025-01-02 23:00:00+00:00,1.5600000000000023,3.3966666666666683,2.955833333333338,2.637500000000003
2025-01-03 00:00:00+00:00,-9.219999999999999,-7.980000000000004,-8.04416666666667,-8.414722222222224
2025-01-03 01:00:00+00:00,-4.044999999999998,-2.5716666666666725,-2.889166666666661,-3.1686111111111104
2025-01-03 02:00:00+00:00,-0.17333333333333556,1.0283333333333324,0.56666666666667,0.47388888888888897
2025-01-03 03:00:00+00:00,2.7408333333333346,2.638333333333332,2.815833333333334,2.731666666666667
2025-01-03 04:00:00+00:00,6.129166666666666,-1.2033333333333367,-3.7608333333333306,0.38833333333333303
2025-01-03 05:00:00+00:00,-0.7216666666666676,-3.8558333333333366,-5.37916666666667,-3.318888888888891
2025-01-03 06:00:00+00:00,2.890833333333333,-2.8900000000000006,-5.055,-1.6847222222222225
2025-01-03 07:00:00+00:00,1.4899999999999984,-2.5950000000000024,-4.630833333333335,-1.9119444444444464
2025-01-03 08:00:00+00:00,1.6791666666666671,-10.259166666666669,-14.317499999999999,-7.6325
2025-01-03 09:00:00+00:00,1.2758333333333347,-3.9375,-5.545833333333327,-2.7358333333333307
