,DA_$perMWh,RTavg_$perMWh,E_DA_MWh,DE_MWh
14,109.78,122.5225,0.0,0.0
15,132.88875,159.82802083333334,0.0,0.0
16,153.99,277.52833333333336,0.0,0.0
17,187.20375,209.55572916666668,0.0,0.0
18,179.78375,184.78677083333332,0.0,0.0
19,166.1725,159.08510416666667,0.0,0.0
20,171.6175,203.89145833333336,0.0,0.0
21,142.79125,177.62375,0.49523809523809526,0.14857142857142872
22,134.97875,159.2925,0.8571428571428571,0.2571428571428571
23,129.56,151.61999999999998,0.8571428571428571,0.2571428571428571
24,135.9975,155.0853125,0.8571428571428571,0.2571428571428571
25,130.83125,134.73072916666666,0.10770638779860257,0.03231191633958077
26,130.82125,129.58374999999998,0.0,0.0
27,130.165,135.58124999999998,0.739440178335635,0.2218320535006905
28,141.87875,151.04427083333331,0.0,0.0
29,142.12375,232.0773958333333,0.5491395170036362,0.16474185510109082
30,181.38625,219.74072916666663,0.04498375813196688,0.013495127439590074
31,206.3875,261.3662499999999,0.0,0.0
32,172.78,216.5739583333333,0.0,0.0
33,141.69,151.62031249999998,0.0,0.0
34,126.5025,109.8809375,0.0,0.0
35,121.20625,109.18197916666666,0.0,0.0
36,120.065,111.04625000000003,0.0,0.0
37,126.68875,124.49572916666666,0.0,0.0
