,DA_$perMWh,RTavg_$perMWh,E_DA_MWh,DE_MWh
18,38.86,55.77125000000001,0.0,0.0
19,42.57,30.838750000000005,0.0,0.0
20,42.81,119.37479166666667,0.0,0.0
21,49.2775,169.31416666666664,0.0,0.0
22,96.39,112.57083333333333,0.0,0.0
23,71.3075,145.62354166666668,0.0,0.0
24,47.34,58.940312500000005,0.0,0.0
25,39.1325,34.16770833333334,0.0,0.0
26,35.6,32.328125,0.0,0.0
27,30.195,27.44333333333334,0.0,0.0
28,26.6675,22.075000000000003,0.0,0.0
29,23.535,22.07604166666667,0.0,0.0
30,22.24,21.118958333333335,0.4615384615384619,-0.13846153846153855
31,21.96,20.922916666666666,0.4615384615384619,-0.13846153846153855
32,22.0675,21.352604166666666,0.46153846153846184,-0.13846153846153855
33,23.305,24.039791666666662,0.8312453655738181,0.24937360967214545
34,26.2525,25.758333333333336,0.0,0.0
35,30.1775,27.26291666666667,0.0,0.0
36,26.2025,25.729375,0.0,0.0
37,25.035,20.88145833333333,0.3623157850052736,-0.10869473550158208
38,25.0125,21.175416666666663,0.19929492552409162,-0.05978847765722748
39,26.4525,22.49625,0.03353067381977848,-0.010059202145933543
40,28.1575,22.28916666666667,0.0,0.0
41,30.8275,26.77333333333333,0.0,0.0
