interval_start_utc,Z_MAINE,Z_NEMASSBOST,Z_NEWHAMPSHIRE,Z_RHODEISLAND,Z_SEMASS,Z_VERMONT,Z_WCMASS,Z_CONNECTICUT
2025-01-01 18:00:00+00:00,45.738,46.768,46.626,45.652,46.501999999999995,45.418,45.827999999999996,44.010000000000005
2025-01-02 00:00:00+00:00,42.265,42.86333333333334,42.696666666666665,42.068333333333335,42.63666666666667,41.776666666666664,42.0,40.333333333333336
2025-01-02 06:00:00+00:00,39.906666666666666,40.818333333333335,40.53333333333333,40.45,40.70666666666667,39.65833333333333,40.19833333333333,38.78333333333333
2025-01-02 12:00:00+00:00,54.593333333333334,56.53666666666667,56.166666666666664,55.22,56.12833333333333,55.221666666666664,55.531666666666666,53.51333333333333
2025-01-02 18:00:00+00:00,64.53333333333333,66.715,66.37166666666667,64.87333333333333,66.21,65.13,65.44666666666667,63.20000000000001
2025-01-03 00:00:00+00:00,61.428333333333335,63.69,63.34166666666667,62.199999999999996,63.37833333333333,62.123333333333335,62.59833333333333,60.46666666666667
2025-01-03 06:00:00+00:00,59.39666666666667,61.949999999999996,61.37166666666667,60.93,61.973333333333336,58.96666666666667,61.18333333333334,59.08833333333333
2025-01-03 12:00:00+00:00,68.47833333333334,72.015,71.13166666666666,71.04166666666667,72.20166666666667,68.215,70.74833333333333,68.45333333333333
2025-01-03 18:00:00+00:00,82.76333333333334,87.79333333333334,86.41666666666667,86.87333333333333,88.41333333333334,82.83666666666666,86.10166666666667,83.24166666666666
2025-01-04 00:00:00+00:00,77.13166666666666,81.17833333333333,79.96833333333333,80.76166666666667,81.84,77.23666666666666,79.85833333333333,77.3
2025-01-04 06:00:00+00:00,83.33,86.47333333333334,85.705,86.21499999999999,87.05,84.31,85.61,83.00333333333333
2025-01-04 12:00:00+00:00,81.24,83.68666666666667,83.07166666666667,82.745,83.91666666666667,81.31166666666667,82.67999999999999,80.86
2025-01-04 18:00:00+00:00,121.21833333333332,125.35666666666667,124.20166666666667,123.83,125.60833333333333,121.54833333333333,123.72666666666667,120.77500000000002
2025-01-05 00:00:00+00:00,104.71833333333332,107.95,107.05333333333333,106.72166666666665,108.15333333333332,104.99333333333334,106.78500000000001,104.42
2025-01-05 06:00:00+00:00,98.25333333333333,100.35833333333333,99.77833333333332,99.15833333333335,100.38333333333333,98.88333333333333,99.56166666666667,97.335
2025-01-05 12:00:00+00:00,103.515,106.75666666666666,105.96333333333332,105.39166666666667,106.83333333333333,104.67333333333333,105.40333333333332,102.40666666666668
2025-01-05 18:00:00+00:00,124.745,130.53,129.12166666666667,129.10666666666665,130.965,127.32499999999999,128.845,125.43333333333334
2025-01-06 00:00:00+00:00,106.25,111.21666666666665,110.03500000000001,110.11,111.605,108.96666666666665,110.07,107.58833333333332
2025-01-06 06:00:00+00:00,103.82,108.57666666666667,107.62333333333333,107.84333333333332,109.11166666666666,106.69,108.12,106.04166666666667
2025-01-06 12:00:00+00:00,153.91166666666666,161.23499999999999,160.04166666666666,163.53333333333333,162.60833333333332,157.725,160.42,157.03
2025-01-06 18:00:00+00:00,166.96,174.455,172.73666666666668,180.845,177.87,169.69333333333333,173.05999999999997,168.93333333333334
2025-01-07 00:00:00+00:00,145.87,151.57833333333335,150.17166666666665,153.95833333333334,152.89333333333335,147.72333333333333,150.29833333333332,146.74666666666667
2025-01-07 06:00:00+00:00,140.00166666666667,145.135,143.875,144.645,145.23999999999998,141.89833333333334,144.11166666666668,140.99833333333333
2025-01-07 12:00:00+00:00,147.71166666666667,154.09166666666667,152.64833333333334,152.65666666666667,154.38166666666666,150.23833333333332,152.42333333333332,149.04666666666668
2025-01-07 18:00:00+00:00,139.98833333333334,146.09,144.90166666666667,144.625,146.315,141.53333333333333,144.35166666666666,140.67999999999998
2025-01-08 00:00:00+00:00,129.91,135.92166666666665,134.66666666666666,135.12833333333333,136.16833333333332,132.82833333333335,134.52166666666668,131.57666666666668
2025-01-08 06:00:00+00:00,129.49166666666667,136.29,134.66166666666666,135.84166666666667,136.55666666666664,134.26,135.42499999999998,132.96
2025-01-08 12:00:00+00:00,149.745,158.38,156.18166666666667,159.11166666666668,159.48666666666668,153.98499999999999,156.22833333333332,152.005
2025-01-08 18:00:00+00:00,163.525,172.20333333333335,169.725,176.1016666666667,175.02166666666668,166.11666666666667,169.43833333333333,163.82500000000002
2025-01-09 00:00:00+00:00,151.92333333333332,160.94666666666666,158.65166666666667,163.06333333333333,162.68833333333333,156.535,158.81,154.33833333333334
2025-01-09 06:00:00+00:00,127.96666666666665,135.47,133.30666666666667,135.585,135.92499999999998,133.09833333333333,134.63,132.555
2025-01-09 12:00:00+00:00,146.14833333333334,154.67499999999998,152.66,153.49666666666667,154.94333333333333,152.33833333333334,153.585,150.90166666666667
2025-01-09 18:00:00+00:00,137.79166666666666,145.44166666666666,143.685,143.96833333333333,145.595,143.05166666666668,144.07666666666668,140.91333333333333
2025-01-10 00:00:00+00:00,124.55666666666667,131.90833333333333,130.06666666666666,131.31333333333333,132.14166666666668,129.96666666666667,131.01500000000001,128.65666666666667
2025-01-10 06:00:00+00:00,101.65833333333335,107.98833333333334,106.25999999999999,108.34833333333331,108.425,106.41000000000001,107.74000000000001,107.00166666666667
2025-01-10 12:00:00+00:00,104.32333333333334,110.78166666666668,109.05333333333334,110.16000000000001,110.90333333333332,109.295,110.29833333333333,109.45333333333333
2025-01-10 18:00:00+00:00,103.83333333333333,108.12333333333333,106.98,107.09666666666668,107.98666666666668,106.60333333333334,107.21499999999999,105.79666666666667
2025-01-11 00:00:00+00:00,105.09500000000001,108.42666666666666,107.80000000000001,107.89,108.35333333333334,107.43666666666667,107.63,105.7
2025-01-11 06:00:00+00:00,85.10666666666667,86.53666666666668,86.26833333333333,86.42333333333333,86.73166666666667,85.49833333333333,85.98833333333333,84.145
2025-01-11 12:00:00+00:00,97.18333333333334,98.74833333333333,98.855,97.605,98.66166666666668,97.49166666666667,97.375,94.705
2025-01-11 18:00:00+00:00,100.56166666666667,101.99333333333334,102.08833333333332,100.42666666666666,101.81666666666668,100.45,100.36500000000001,97.41000000000001
2025-01-12 00:00:00+00:00,87.22833333333334,88.64,88.355,87.81,88.645,87.06166666666667,87.47333333333334,85.37333333333333
2025-01-12 06:00:00+00:00,81.09166666666667,82.08833333333332,81.31333333333333,81.61,82.07,79.69833333333334,81.06333333333333,79.13
2025-01-12 12:00:00+00:00,76.36666666666666,77.33166666666666,76.865,76.17,77.11,75.19333333333333,76.235,74.57833333333333
2025-01-12 18:00:00+00:00,90.57666666666667,91.68333333333334,91.325,90.32166666666667,91.53166666666668,89.51666666666667,90.20833333333333,87.86333333333333
2025-01-13 00:00:00+00:00,87.61,88.505,88.24166666666667,87.675,88.54166666666667,86.855,87.21499999999999,84.79333333333334
